role,full_name,username,password
admin,Никифорова Весения Николаевна,94d5ous@gmail.com,uzWC67
admin,Сазонов Руслан Германович,uth4iz@mail.com,2L6KZG
admin,Одинцов Серафим Артёмович,5d4zbu@tutanota.com,rwVDh9
manager,Ситдикова Елена Анатольевна,ptec8ym@yahoo.com,LdNyos
manager,Ворсин Петр Евгеньевич,1qz4kw@mail.com,gynQMT
manager,Старикова Елена Павловна,4np6se@mail.com,AtnDjr
client,Никифорова Анна Семеновна,yzls62@outlook.com,JlFRCZ
client,Стелина Евгения Петровна,1diph5e@tutanota.com,8ntwUp
client,Михайлюк Анна Вячеславовна,tjde7c@yahoo.com,YOyhfR
client,Степанов Михаил Артёмович,wpmrc3do@tutanota.com,RSbvHv
